edit_history_tweet_ids,geo,created_at,text,neg,neu,pos,compound,overall_sentiment
['1593771032036286465'],,2022-11-19T00:59:59.000Z,5 tahun lepas dapat fast lane. Kali ni tak dapekkk lerrr. Beratur lerrr kitaaaa.ðŸ˜… #PRU15,0,0.872,0.128,0.3612,positive
['1593771027385184258'],,2022-11-19T00:59:58.000Z,Done vote!!!!! #PRU15,0,1,0,0,neutral
['1593771020787527680'],,2022-11-19T00:59:56.000Z,RT @myofficialblink: Selamat menunaikan tanggungjawab mengundi semua! Remember that the future of our country is in our hand and we have thâ€¦,0,0.653,0.347,0.8777,positive
['1593771017943805953'],,2022-11-19T00:59:56.000Z,Tunaikan tanggungjawab selaku rakyat! #PRU15 https://t.co/r5qf41flOY,0,0.653,0.347,0.4926,positive
['1593771015045148672'],,2022-11-19T00:59:55.000Z,Baru aku perasan. Dekat sejam jugak ye untuk settle sorang mengundi pagi ni. Semoga semua anak Malaysia boleh bersabar dan bawa lah apa apa yang patut. Kerusi healing jangan dilupa! #PRU15 #GE15,0,0.93,0.07,0.2401,positive
['1593770996749639680'],,2022-11-19T00:59:51.000Z,"Done voting ðŸ‘
Don't forget to vote guys ðŸ’¯
Vote for the right partyðŸ’ª

Do the right thing!

#GE15  #PRU15 #GeneralElection2022 
#MalaysiaMemilih #Malaysia  #KitaBoleh #KitaJagaKita 
#UndiHarapan #UNDI100Peratus https://t.co/UGx0vyyVFA",0,0.866,0.134,0.5659,positive
['1593770995399421953'],,2022-11-19T00:59:50.000Z,"Voting for GE15 begins

https://t.co/Z5HoYYAMqu

#GE15 #TMRNews",0,1,0,0,neutral
['1593770993189027842'],,2022-11-19T00:59:50.000Z,"RT @bernamadotcom: TERKINIâ—ï¸#PRU15: Calon PN DUN Tioman Md Yunus Ramli meninggal dunia di Hospital Kuala Rompin, Pahang, 3.30 pagi tadi - Aâ€¦",0.167,0.833,0,-0.5574,negative
['1593770991398051840'],,2022-11-19T00:59:49.000Z,RT @S_Y_New: Never forget that Muhyiddin and his cabinet (incl. Ismail Sabri) declared emergency and SUSPENDED PARLIAMENT and effectively dâ€¦,0.238,0.593,0.169,-0.4342,negative
['1593770989980372992'],,2022-11-19T00:59:49.000Z,"RT @zunarkartunis: AMBIK KAU! Gadis Remaja sekolahkan Abah Cow!
#PRU15 #GE15 https://t.co/c0UaFpvlGi",0,1,0,0,neutral
['1593770958653108225'],,2022-11-19T00:59:42.000Z,"RT @tankengliang: last GE14, voters had given Harapan a chance to govern our country but they failed to fulfill their promises. They focusâ€¦",0.138,0.59,0.272,0.5106,positive
['1593770953875812352'],,2022-11-19T00:59:40.000Z,"RT @_TheJebs: Selamat mengundi, semua!
Semoga kita memilih pemimpin yang bertanggungjawab, berempati dan berakal.

""Kami rela menjaga namamâ€¦",0,0.601,0.399,0.9117,positive
['1593770950268702722'],,2022-11-19T00:59:40.000Z,"RT @AbdMydin: Calon No 2
Kerusi Parlimen P125 PUTRAJAYA:
NORAISHAH MYDIN BT HAJI ABDUL AZIZ
Selamat Mengundi Semua ðŸ™ðŸ™ðŸ™ðŸ‡²ðŸ‡¾ðŸ‡²ðŸ‡¾ðŸ‡²ðŸ‡¾
#UndiPakatanHaâ€¦",0,0.861,0.139,0.5719,positive
['1593770949983498242'],,2022-11-19T00:59:39.000Z,"ðŸ”µ#PRU15: Pengeluaran kertas undi bagi DUN Tioman ditangguhkan ekoran kematian calon PN bagi DUN itu awal pagi ini - Pengurus Pilihan Raya

#PRU15BERNAMA #MalaysiaMemilih
#AndaPenentu #Undi100Peratus
.
Kredit @bernamadotcom https://t.co/jdoaaFQGeb",0.135,0.804,0.061,-0.4767,negative
['1593770946774859776'],,2022-11-19T00:59:39.000Z,already did my part #Election2022 #Malaysia #PRU15 https://t.co/iHBaEE3u16,0,1,0,0,neutral
['1593770938926919681'],,2022-11-19T00:59:37.000Z,"Early scenes at some polling centres show long queues !!
#GE15 #Malaysia ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‡²ðŸ‡¾
#BetterMalaysia 

https://t.co/XvWvBddFZt",0,1,0,0,neutral
['1593770938918916097'],,2022-11-19T00:59:37.000Z,"I can't stand the quality of #PRU15 reporting by @501Awani.. Its terrible, not professional and low class.

I am surprised that @RTM_Malaysia is doing a better job.

My fav, @ChannelNewsAsia isn't doing much coverage on Malaysia Election right now. ðŸ¤”ðŸ˜‘",0.061,0.749,0.19,0.672,positive
['1593770935617609728'],,2022-11-19T00:59:36.000Z,Selesai mengundi #PRU15,0,1,0,0,neutral
['1593770928965816320'],,2022-11-19T00:59:34.000Z,"RT @puteriarchy: IT'S ELECTION DAYYYYY 

Vote for a better Malaysia and all those food promos going on today and tomorrow #GE15 #MalaysiaMeâ€¦",0,0.879,0.121,0.4404,positive
['1593770914088263680'],,2022-11-19T00:59:31.000Z,"Done my part.

#MalaysiaMemilih 
#PRU15 https://t.co/Uc4vPAm2cb",0,1,0,0,neutral
['1593770902189395968'],,2022-11-19T00:59:28.000Z,"Calon Perikatan Nasional yang juga Penyandang Parlimen Gombak, Datuk Seri Mohamed Azmin Ali bersama isteri tiba di SK Klang Gate pada 8.30 pagi dan beratur bersama penduduk untuk mengundi.

#PRU15 #AndaPenentu https://t.co/IE0FpeRBoY",0,1,0,0,neutral
['1593770901388300288'],,2022-11-19T00:59:28.000Z,"RT @tankengliang: ðŸ‘‡ðŸ¼ spot on. Luckily, many Harapan supporters realize this &amp; all their empty promises. Just look at their lower numbers ofâ€¦",0.109,0.652,0.239,0.7003,positive
['1593770884380360704'],,2022-11-19T00:59:24.000Z,"To those who planned to vote later in the afternoon. Consider reconsidering your option. Weather forecast says that it will rain in many places in the afternoon. Donâ€™t take the risk. Come out early if you can.  
#GE #Generalelection #GE15",0.051,0.949,0,-0.2732,negative
['1593770883688321024'],,2022-11-19T00:59:24.000Z,"Saya sudah! Alhamdulillah tak payah berbaris pun hahaha. Tapi peti undi dah penuh separuh juga tu.

#GeneralElection2022 #MalaysiaMemilih #PRU15 https://t.co/t5z2uuhscd",0,0.888,0.112,0.3382,positive
['1593770880492265472'],,2022-11-19T00:59:23.000Z,Selesai..doa semoga dapat yang terbaik..#MalaysiaMemilih #GE15 #PRU15,0,0.413,0.587,0.7964,positive
['1593770879686946817'],,2022-11-19T00:59:23.000Z,Malas nak bawa wallet. Bawa ic jeðŸ˜Ž Selamat mengundi semua!ðŸ‡²ðŸ‡¾ #PRU15 https://t.co/uEpIH72bMO,0.116,0.558,0.325,0.6696,positive
['1593770874951213057'],{'place_id': '07d9ca0165084003'},2022-11-19T00:59:22.000Z,"Sudah menunaikan tanggungjawab. 

#PRU15
#GE15
#GeneralElection2022 https://t.co/GZrCfpISiN",0,0.682,0.318,0.4215,positive
['1593770866562674688'],,2022-11-19T00:59:20.000Z,RT @KeertiWasHere: HAPPY VOTING EVERYONE!! REMEMBER TO MASK UP AND BRING YOUR IC!! #GE15,0,0.699,0.301,0.765,positive
['1593770863106875392'],,2022-11-19T00:59:19.000Z,Heartening and inspiringðŸ˜ to see rows of #firsttimevoters out doing duty to the country this #GE15,0,0.756,0.244,0.7003,positive
['1593770861823082496'],,2022-11-19T00:59:18.000Z,"RT @zunarkartunis: Ceramah DSAI Grand Finale di Tambun sekarang!.
#pru15 #GE15 https://t.co/9EE2FbEsSO",0,0.77,0.23,0.5093,positive
['1593770860254752770'],,2022-11-19T00:59:18.000Z,"RT @BooSoonYew67: Scenes round #Malaysia on this morning of #GE15 .. proper harmony amongst the people clearly visible..

https://t.co/A7rJâ€¦",0,0.759,0.241,0.6597,positive
['1593770860028252161'],,2022-11-19T00:59:18.000Z,RT @beanscoffey810: Happiest voting Malaysia! Ameeen ðŸ™â¤ï¸â¤ï¸â¤ï¸ #GE15 #PRU15 #AyuhMalaysia #KitaBoleh #KitaJagaKita #UndiHarapan ##Undi18 #DSAâ€¦,0,1,0,0,neutral
['1593770853673897984'],,2022-11-19T00:59:17.000Z,"siaplah segala sudut anak cucu socmed mesti penuh jari gemuk kurus memasing.
choose wisely. selamat mengundi ðŸ¤
#GE15 #MalaysiaMemilih",0,0.884,0.116,0.3612,positive
['1593770845964742656'],,2022-11-19T00:59:15.000Z,Pose mandatory! Undian untuk parti Barisan Harapan! #PRU15 https://t.co/h1FkvMz0Ci,0,0.567,0.433,0.555,positive
['1593770840721862657'],,2022-11-19T00:59:13.000Z,"19.11.22 

Saya sudah undi jam 8.30 pagi. Tq abg RELA amikkan gmbr. 

#pru15 #ge15 #mengundi #malaysiamemilih #pn #ph #gta #bn https://t.co/KAp5xySblw",0,1,0,0,neutral
['1593770839283208192'],,2022-11-19T00:59:13.000Z,"Diva Azwan Ali menjadi antara yang terawal turun mengundi. 

#majoritimemilih
#majoriti
#PRU15
#ParlimenGombak 

https://t.co/J5R2u9TJrd",0,1,0,0,neutral
['1593770834480357376'],,2022-11-19T00:59:12.000Z,RT @JapenMelaka: '' MENJELANG PRU - 15 : MALAYSIA MEMILIH '' https://t.co/gdWACheaQb,0,1,0,0,neutral
['1593770828252217344'],,2022-11-19T00:59:10.000Z,"RT @YPAC_Channel: KERUSI PANAS TUMPUAN

Siapakah yang bakal dipilih untuk Parlimen2 ini?

Buat pilihan bijak korang esok dengan #turunmenguâ€¦",0,0.759,0.241,0.6908,positive
